stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1516.06,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,16.35,28.6,0,0,0,0,65.38,0,0,0,0,0,0,0,0,0,0,0
72hpf,718.9,2.14,0,5.35,3.21,3.21,1.07,0,0,0,0,0,0,0,2.14,5.35,3.21,20.33,0,33.16,1.07,79.16,46,0,0,12.84,0,0,1.07,0,1.07,0,0,0
21Day,627.77,1.34,0,16.06,0,10.71,0,0,0,0,1.34,0,5.35,1.34,0,5.35,2.68,40.16,1.34,80.31,0,16.06,13.39,0,1.34,10.71,13.39,0,0,2.68,5.35,1.34,0,2.68
3Month,7.68,0,0.32,4.16,0,0,0,0,0.32,0.64,1.28,0,0.32,0.96,0.32,1.28,0.32,1.6,0,8.96,0,0,0,0.32,0,0,0.32,9.6,0,0,0,0,1.28,0.32
22Month,1.64,0.55,0,0,0,0,0,0.55,0,0.55,3.28,0.55,0.55,1.09,0,0,0.55,0.55,0,2.19,0,0.55,0,0,0.55,0.55,0,2.19,0.55,0,0,0,0,2.19
