stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,0,19.26,0,0,0,0,1.07,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,1.34,30.79,1.34,0,1.34,1.34,1.34,0,1.34,0,0,1.34,1.34,0,2.68,0,1.34,0
3Month,0.32,1.28,13.12,0,0.64,0,0.64,2.24,0.64,0,0.32,0.32,0.32,0,0.64,0,4.8,0,8.96
