stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,314.65,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,0,5.35,1.07,5.35,0,0,0,0,0,0,1.07,6.42,1.07,5.35,0,1.07,0,0,358.38,158.33,0,2.14,10.7,0,0,14.98,4.28,1.07,0,0,0
21Day,0,0,5.35,1.34,1.34,0,0,0,0,1.34,0,1.34,2.68,0,1.34,0,0,0,0,119.13,49.53,0,5.35,1.34,6.69,1.34,6.69,6.69,1.34,0,0,1.34
3Month,0.32,0.32,4.16,0.32,0,1.28,0.32,2.56,2.24,0,1.92,2.24,1.28,0.96,2.56,0.32,0,1.28,0.32,8.96,0.64,1.92,11.2,0.32,0.32,11.84,0,0,0.32,0,18.56,2.88
22Month,0,0,1.09,0.55,0,0,0.55,4.92,0,0,5.47,1.09,0.55,0.55,0,0,0,1.09,0,2.19,0,0,11.48,0,0,1.64,0.55,2.19,0,0.55,0,0.55
