stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,4.09,69.47,0,0,4.09,0,0,0,0,0
72hpf,3.21,1.07,0,1.07,0,1.07,0,1.07,0,0,0,0,1.07,3.21,0,8.56,0,0,43.86,22.47,1.07,0,2.14,0,0,3.21,0,0
21Day,5.35,0,0,8.03,1.34,5.35,0,0,0,0,0,0,1.34,4.02,0,12.05,0,0,17.4,17.4,0,0,4.02,2.68,0,2.68,0,1.34
3Month,0,0,0.32,1.6,0,0,0,0.96,6.4,0,0.32,0.64,0.32,1.6,1.6,0.64,0,0.64,0.32,0.32,0,0,0,0,1.92,0,0.64,0.32
22Month,0,0.55,0,1.09,0,0,0.55,1.09,14.21,0.55,0,0.55,0,0.55,1.09,0.55,0.55,0,0,0,0,0.55,0,0,0,0,0,1.09
