stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,8.17,4.09,0,4.09,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,1.07,0,2.14,1.07,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.64,0.32,0,0,0.64,0.32,0,0.32,0.32,0.32,0,0,0,0,0,0.64,1.28,0.32,0.64
22Month,0,0,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0
