stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,0,0
21Day,2.68,5.35,1.34,1.34,1.34,1.34,2.68,2.68,1.34,2.68,1.34
