stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,0,0,0,3.21,4.28,0,0
21Day,0,0,0,0,0,1.34,4.02,1.34,1.34
3Month,0,0.32,0,0,0.32,0,0,0,0
22Month,0.55,0.55,3.28,0.55,0,0,0,0,0
