stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,0,0,12.26,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0
21Day,1.34,1.34,1.34,0,1.34,0,0,1.34,0,0,0
3Month,0,0.32,0,0.32,0,0,0,0,0,0,0.64
22Month,0,0,0,0.55,0,0,1.09,0,0.55,0,0
