stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12,1.07,0,0,0,0,0,0,6.42,3.21,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,16.06,0,0,0,0,1.34,0,0,0,0,0,2.68,1.34,16.06,1.34,2.68,0,0,0,0,4.02,1.34,0,0,0,0,0,0,1.34,0,0,5.35
3Month,0.64,2.24,27.84,93.75,0.32,0.32,0.32,0.32,80.95,13.12,0.32,50.55,9.92,2.56,501.68,12.8,15.04,22.08,7.04,1.28,0.32,29.12,12.8,0.96,0.32,4.48,0.32,0,4.16,11.84,0.32,0.32,6.08,5.76,18.56
22Month,0.55,5.47,47.56,92.38,0,1.09,0.55,0,41,63.96,12.03,62.87,15.31,6.01,685.5,5.47,16.4,26.79,8.75,0,2.73,11.48,2.73,0.55,0,4.37,1.64,0.55,1.09,2.19,1.09,0.55,7.11,0,19.68
