stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,24.52,36.78,0,0,0,20.43,163.46,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,4.28,0,4.28,1.07,4.28,0,0,0,0,0,0,0,0,0,0,1.07,8.56,1.07,19.26,0,1.07,0,78.09,49.21,2.14,0,10.7,0,0,7.49,3.21,0,0,1.07
21Day,20.08,4.02,1.34,32.12,0,6.69,0,16.06,0,1.34,0,0,1.34,1.34,10.71,6.69,4.02,10.71,0,25.43,2.68,1.34,0,14.72,28.11,1.34,2.68,12.05,5.35,0,1.34,1.34,0,0,2.68
3Month,0.32,0.96,0.32,13.44,0.64,0,0.96,0,0.64,6.4,0,0,17.92,5.44,1.6,7.68,2.56,3.52,4.8,5.44,0.32,0.64,1.92,0.96,0,0.64,0,0.32,0,26.56,0,0,2.56,6.72,5.12
22Month,0,2.73,0.55,2.73,0,0,0,1.09,0,10.39,2.19,0,43.19,3.83,2.73,4.37,0.55,1.64,6.01,4.37,2.73,0.55,0,0,0,0.55,2.19,0.55,0,2.73,0.55,0,0,0,1.09
