stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,89.9,12.26,4.09,44.95,0,8.17,0,0,0,0,0,0,8.17,0,0,0,0,12.26,32.69,20.43,474.02,0,0,0,625.22,10563.36,0,0,12.26,0,0,0,0,0,12.26,0,0,0
72hpf,27.81,2.14,0,5.35,2.14,13.91,0,0,0,0,0,0,1.07,0,0,0,0,2.14,23.54,4.28,239.63,0,3.21,1.07,296.33,1158.58,0,1.07,83.44,1.07,0,282.42,1.07,0,5.35,0,0,0
21Day,32.12,0,0,6.69,0,14.72,0,1.34,0,0,1.34,0,0,0,0,4.02,8.03,0,5.35,2.68,144.56,0,0,0,49.53,455.1,0,1.34,10.71,14.72,1.34,88.34,0,2.68,1.34,0,0,2.68
3Month,0,0.64,0,1.92,0,0,0.96,0,0,0.96,0.96,0,0,8,1.92,0,1.6,0.32,0.96,0.96,29.12,3.2,0,0.32,1.6,3.2,0.32,0.64,0,0.96,12.16,0.64,0,0,0,0.64,18.24,0.96
22Month,0.55,0,0,2.19,0,0,0.55,0,0.55,1.09,1.09,1.64,0,50.29,2.73,0.55,3.28,0,0,1.09,47.56,4.37,1.09,0.55,10.39,2.73,0,0.55,0,0,25.69,2.19,0.55,0,2.19,0,0,0.55
