stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hatching_gland,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,8.17,77.64,0,8581.45,16.35,4.09,24.52,8.17,249.27,4.09
72hpf,1.07,0,12.84,1.07,3.21,0,0,0,0,0,0
21Day,0,0,2.68,0,0,1.34,0,0,0,0,0
