stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
21Day,1.34,0,0,0,0
22Month,0.55,6.56,1.09,0.55,0
