stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,12.26,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,4.28,4.28,1.07,0,0,0,0,0,0,0,1.07,7.49,1.07,2.14,0,0,0,0,40.65,36.37,0,0,0,0,0,0,16.05,0,0,0,0
21Day,1.34,0,1.34,26.77,0,0,1.34,0,0,0,0,0,0,1.34,2.68,1.34,10.71,0,0,1.34,0,13.39,13.39,0,0,0,12.05,2.68,0,4.02,0,0,0,0
3Month,0.32,0,0.96,31.99,0,0,0,4.48,1.28,0,15.68,0.32,14.08,1.92,9.28,1.28,3.84,0.32,0,0.32,0,0.96,1.28,2.56,0.32,0,0,1.28,15.68,0.96,0.32,0.32,58.55,0.64
22Month,0,0.55,2.73,13.12,0.55,0,0,3.28,1.09,7.65,55.21,1.64,26.79,0.55,2.73,2.19,6.01,0,0.55,1.64,0.55,0,0.55,1.64,0,1.09,0.55,0.55,2.73,3.28,0,0,0.55,1.09
