stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,27.81,2.14,0,0,0,1.07,0,0,2.14,0,0,0,0,1.07,0,0,0
21Day,0,0,0,1.34,0,0,1.34,0,0,0,58.9,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0,0
3Month,0.32,1.28,6.72,0,0.32,0.64,4.8,1.6,0.32,3.2,166.37,0,3.84,5.76,0.96,0,0.32,35.83,0.32,0.32,0,0.32,0.96,0,0.64,0.32,0.64
22Month,0,0.55,2.73,0,0,0,3.83,0.55,0,0,78.72,0,0.55,6.01,0,0,0,1.64,0,0,0,2.19,0,0,0,0,1.09
