stage,Epithelial_cell,Hepatocyte,Immune_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,1.07,1.07,0,0
21Day,0,0,0,4.02,0,0,0
3Month,0.32,0.64,0.32,0,0,0.32,2.24
