stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,4.09,4.09,57.21,0,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,0,1.07,1.07,4.28,7.49,11.77,1.07,1.07,0,2.14,0
21Day,1.34,1.34,10.71,1.34,1.34,1.34,1.34,2.68,4.02,1.34,14.72,24.09,25.43,1.34,6.69,1.34,5.35,1.34
