stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,5.35,9.37,0,0,50.86,0,0,0,66.93,0,2.68,1.34,16.06,2.68,0,0,0,9.37,1.34,0,0,6.69,5.35,0,1.34,0,37.48
3Month,1.28,0,0.96,0.32,3.2,0,3.84,1.92,7.36,1.92,1.28,1.28,30.72,3.52,2.24,0,1.92,0,0,0.32,0.32,0.64,5.44,1.92,0,2.56,52.47
22Month,0.55,0,0,0,0,0.55,4.92,6.56,2.73,0,2.19,0.55,32.8,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,38.27
