stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
72hpf,2.14,0,0,6.42,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,30.79,0,48.19,0,0,0,0,1.34,1.34,0,1.34,0,4.02,0,0,0,0,1.34,0,1.34,1.34,0,0
3Month,0,0,0.32,0,7.04,3.52,0,0.64,0,1.6,0.32,0.32,0.32,0.32,0.64,0,0,0,0,0,0,0.96,0,0,0.32,0.64
22Month,0,1.09,1.09,0,3.28,3.83,2.19,7.11,1.64,0.55,0,0.55,0.55,3.28,0,0,0,0.55,0.55,0,0,0,0,0,0,0
