stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,4.09,0,16.35,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,2.14,1.07,1.07,1.07,1.07
21Day,0,1.34,1.34,1.34,1.34,0,5.35,4.02,2.68,0,1.34,0
