stage,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
3Month,0.32,0.96,0,0,1.28,0,0,0,0,0.64,0.32,0.32,0.32
22Month,0,0.55,1.09,0.55,8.75,0.55,1.09,0.55,1.09,0,0,0,0
