stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,8.17,0,4.09,0,0,0,0,0,81.73,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,6.42,7.49,0,0,0,0,0,0,0,0,2.14,14.98,0,7.49,0,0,0,0,5.35,17.12,0,7.49,0,0,0,0,0,0,0,0
21Day,2.68,1.34,0,24.09,0,0,0,0,0,0,0,0,0,2.68,25.43,0,17.4,0,0,1.34,0,4.02,1.34,0,4.02,0,0,0,0,0,0,0,0
3Month,0,0.32,0.64,10.56,0.32,0,0,1.28,0.32,0,0,12.48,0.64,0.64,1.28,0.32,2.88,0.96,0.32,0.64,0.32,0.32,0,1.28,0,0,6.4,0,0,0,0.32,11.84,0
22Month,0,2.73,0,10.39,0,0.55,0.55,2.73,1.09,3.28,0,144.86,2.19,0.55,1.09,0,5.47,0,4.92,0.55,0,0,0.55,1.64,0,0.55,1.64,1.09,0.55,0,0,0,0.55
