stage,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,20.43,0,0,0,0
72hpf,1.07,1.07,0,2.14,63.12,2.14,1.07,0,0,0
21Day,0,0,0,1.34,38.82,2.68,0,1.34,0,1.34
3Month,0,0,0.32,0,0,0,0,0.32,0.32,0
