stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,44.95,8.17,0,666.08,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,257.44,0,0,0,0,32.69,363.69,0,8.17,0,0,0,0,0,0,0
72hpf,5.35,0,0,92,1.07,3.21,0,1.07,0,0,0,0,0,0,0,0,243.91,0,181.86,0,0,2.14,0,11.77,18.19,0,23.54,0,0,0,0,0,0,0
21Day,13.39,0,0,152.59,0,5.35,0,0,0,0,0,0,0,0,1.34,1.34,113.78,5.35,175.35,0,0,8.03,0,9.37,1.34,0,50.86,2.68,0,1.34,5.35,0,0,1.34
3Month,0,0,0,6.08,0,0,0,0,0.64,0.96,0,9.28,2.56,0.32,3.52,0.64,14.4,2.24,0.64,0.32,0,0.64,1.6,0.64,0,0,0,1.28,2.24,0,0,0,2.56,0.32
22Month,0,2.73,1.09,6.56,0,0,0.55,0,1.09,3.83,4.37,89.65,11.48,1.09,13.67,0,4.92,6.01,3.28,0,1.64,1.64,0,1.09,0,1.64,0,0,1.64,0,0,0.55,0,1.09
