stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,159.37,187.97,1185.06,4.09,16.35,4.09,4.09,111669.18,12.26,61.3,359.6,200.23,702.86,0,482.2,7155.29,0,114.42,0,0,8.17
72hpf,9.63,1.07,1126.49,1.07,6.42,12.84,0,190.42,0,1.07,39.58,0,4.28,1.07,64.19,28.88,1.07,7.49,0,3.21,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0,0,0,0,0,0.64,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0
