stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,40.86,32.69,0,16.35,0,0,0,0,0,0,0,0,0,0,16.35,4.09,93.99,0,0,0,0,147.11,0,0,36.78,0,0,0,0,4.09,0,0
72hpf,28.88,33.16,0,3.21,6.42,4.28,0,1.07,1.07,0,0,0,0,2.14,12.84,1.07,128.37,0,0,1.07,109.12,63.12,1.07,2.14,116.61,0,0,49.21,0,2.14,0,0
21Day,49.53,13.39,1.34,30.79,5.35,9.37,0,1.34,0,0,0,5.35,1.34,4.02,16.06,0,153.93,1.34,0,30.79,101.73,24.09,4.02,4.02,25.43,2.68,1.34,17.4,1.34,4.02,0,1.34
3Month,0,0,0,0.32,0,0,0,0,0,0.96,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0
22Month,0,18.59,0,3.28,0.55,0,0.55,0,3.83,14.76,1.64,1.64,0.55,0,0.55,1.09,36.08,0.55,1.09,2.19,3.83,1.64,3.28,0.55,0.55,0,24.05,18.04,0,0,2.73,1.09
