stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,1.07,0,0
21Day,1.34,6.69,1.34,1.34,4.02,0,1.34,1.34
