stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,20.43,8.17,0,77.64,0,0,0,0,0,0,0,0,0,16.35,32.69,28.6,73.56,8.17,40.86,8217.76,0,0,20.43,0,0,0,0,0,4.09,0,0
72hpf,28.88,6.42,0,28.88,2.14,21.4,0,0,0,0,0,0,0,5.35,29.95,1.07,46,3.21,3581.66,967.09,2.14,1.07,48.14,0,0,121.96,9.63,2.14,5.35,0,0
21Day,12.05,0,4.02,40.16,2.68,50.86,8.03,1.34,0,6.69,1.34,10.71,1.34,16.06,24.09,8.03,40.16,4.02,1540.65,710.76,2.68,2.68,28.11,37.48,0,175.35,10.71,10.71,13.39,0,9.37
3Month,0,0,0,0.32,0,0,0,0,0,1.28,0.64,0.32,0.32,0.32,0,0,0,0,2.56,0.64,0,0,0,0,1.6,0.96,0,0,0.32,0.32,0
22Month,0,1.09,0,0,0,0,0,2.73,0.55,8.75,1.09,0,0,0.55,0,0.55,1.09,0,4.92,0.55,0.55,0,0,0,0.55,4.37,0,0,0,0,0.55
