stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,44.95,0,81.73,8.17,0,0,8.17,0,0,0,0,0,0,8.17,98.07,110.33,281.96,0,0,0,4.09,44.95,2500.88,0,0,0,32.69,0,0,0,0,0,0,12.26,0,0,0
72hpf,20.33,7.49,0,49.21,8.56,18.19,0,7.49,0,0,1.07,0,8.56,0,23.54,55.63,10.7,104.84,0,9.63,0,0,164.75,559.5,0,1.07,0,49.21,7.49,0,0,13.91,0,1.07,1.07,0,0,0
21Day,28.11,4.02,1.34,80.31,1.34,119.13,0,95.04,0,2.68,2.68,1.34,49.53,2.68,4.02,17.4,18.74,128.5,1.34,1.34,12.05,0,42.83,184.72,0,1.34,0,49.53,8.03,0,6.69,28.11,1.34,6.69,2.68,0,0,20.08
3Month,0.96,2.88,3.52,146.22,0,0,4.8,10.88,7.36,41.27,83.19,45.75,23.68,32.95,5.44,31.67,39.03,39.03,8,0.96,6.08,7.36,6.72,9.6,2.56,1.6,0,1.28,8.32,0.96,1903.06,2.56,0,0,0.32,17.6,388.74,76.15
22Month,0,1.64,4.92,27.33,0,0,3.28,9.84,6.01,59.59,32.8,15.85,59.04,33.35,1.09,4.37,62.87,8.75,0,2.73,1.64,0,1.64,3.83,2.73,1.09,18.04,0,0.55,0,323.07,1.09,0.55,0,0,0.55,1.09,12.03
