stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,89.68,1.34,0,2.68,0,1.34,1.34,12.05,0,1.34,20.08,128.5,1.34,0,0,12.05,2.68,1.34,4.02,0,0,1.34,1.34,0,0
3Month,0,0.32,26.88,0,0.32,0,0.64,0.96,1.92,0.32,0.32,0.64,0.64,12.16,0,0.32,0,7.68,0,0,0,0.96,0,0,0,0.64,0.64
22Month,0,0.55,13.12,0,0,0,0,1.64,2.73,0.55,0.55,0,0,33.35,1.64,0,1.09,6.01,0,0,0,1.64,0.55,0,0,0,0.55
