stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,4.09,16.35,20.43,0,0,0,8.17,40.86,0,0,12.26,269.7,0,4.09,0,0,0
72hpf,0,1.07,4.28,0,0,1.07,0,3.21,1.07,0,11.77,19.26,0,2.14,1.07,0,1.07
21Day,0,0,4.02,0,1.34,0,0,1.34,0,1.34,2.68,1.34,0,0,0,0,0
3Month,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0
22Month,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0.55,0,0,0,0
