stage,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,11.77,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,5.44,0,0.32,0.64,0.32,3.52,2.88,1.92,0.32,5.12,0.96,6.72,0.64,0.32,1.92,0,1.28,0.64,0.64,0.32,0.32,2.56,0.64,28.16,0.32
22Month,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
