stage,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia
72hpf,1.07,1.07,0,0,1.07,1.07,2.14,1.07,0,1.07
21Day,0,0,0,0,0,0,1.34,0,1.34,0
22Month,0,0,1.09,0.55,0.55,0.55,0,0,0,0
