stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,183.89,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,16.05,0,0,0,0,0,0,0,0,0,148.7,0,2.14,0,13.91,4.28,0,0,3.21,0,0,1.07,0,0,0
21Day,0,0,0,13.39,0,0,1.34,0,0,0,0,0,0,45.51,5.35,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0
3Month,0.32,0.32,2.88,7.04,0,0,23.68,0,0,3.52,0.64,9.6,0.64,0,0.32,0.96,5.44,0,0,0,0,0,0.96,0.32,0,0,0.32,0.64
22Month,0,0.55,15.31,19.68,0.55,0.55,72.16,3.83,2.19,19.13,1.09,140.49,0,0,3.83,4.92,30.61,0.55,0,7.11,1.09,0.55,0.55,0,0.55,0,0,1.64
