stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,10.7,1.07,0,0,0,0,1.07,1.07,0,0,0,32.09,1.07,1.07,0,0,0,0,0
21Day,9.37,2.68,1.34,0,0,0,0,2.68,1.34,0,0,89.68,4.02,0,0,1.34,4.02,0,1.34
3Month,0.32,0.64,0,0.32,0.96,0,0,0,0,0.32,0.32,0,0,0,1.28,0,0,0.32,0
22Month,0,0.55,0,0,0.55,0.55,0,0,0.55,0,0.55,0,0,0,2.19,0,0,0,0
