stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,85.81,8.17,0,0,0,0,4.09,0,0,0,0,0,0,20.43,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,106.98,2.14,2.14,0,0,0,0,0,0,0,2.14,5.35,0,19.26,0,0,1.07,72.75,58.84,0,0,0,10.7,0,0,4.28,1.07,0,2.14,0,0
21Day,5.35,0,0,157.95,1.34,4.02,0,0,0,1.34,0,6.69,0,2.68,10.71,1.34,10.71,0,0,0,14.72,10.71,0,1.34,0,9.37,1.34,0,1.34,0,2.68,0,0,2.68
3Month,0,0.96,0.32,78.71,0.64,0,0.32,0.96,0,6.4,2.24,0,3.84,1.28,63.03,2.24,1.6,0.64,0,0.32,0.64,0.32,0.32,0.32,0,0.32,1.6,4.48,0.32,0,0,0,0.64,1.6
22Month,0,0.55,0.55,7.65,0,0,0,1.64,1.09,14.21,1.09,0,0.55,0,4.92,2.19,0.55,0,0.55,0,0,0,0,0,21.32,0,0,0.55,0,0,0,0,0,0.55
