stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell
21Day,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.32,0.32,0.32,0,0.64,1.28,0.32,0.32,0,0.32
22Month,0.55,0,2.19,0.55,0,1.64,0,0,0,0.55,0
