stage,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,0,1.34,0
3Month,0.32,0,0,0,0,0.32
22Month,0,0.55,0.55,0.55,0,0
