stage,Endothelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Neural_cell
21Day,0,0,1.34,1.34,4.02
3Month,0.32,0.32,0,0,0
22Month,0,1.64,0,0,0
