stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,6.42,7.49,1.07,0,0,0,0,0,17.12,20.33,1.07,0,0,0
21Day,4.02,0,0,12.05,2.68,6.69,0,2.68,0,1.34,0,0,0,1.34,2.68,0,1.34,5.35,0,9.37,0,0,2.68,0,9.37,9.37,0,0,5.35,5.35,2.68,0,112.44,512.66,4.02,0,0,0
3Month,0,0,0.32,4.8,0,0,0.32,0,0.32,1.28,1.92,0,4.48,1.92,0,1.92,0.64,2.56,3.52,1.28,0.64,0,2.24,0,0.32,0.64,0.64,0,0,1.6,112.94,0.32,0,0.96,0.32,0.32,20.48,1.28
22Month,0.55,30.61,0,39.36,0,0,0.55,0,0,0.55,3.83,6.01,69.97,0,2.19,5.47,2.19,0,7.11,4.92,0,4.37,0.55,0.55,0.55,0,2.73,0.55,0,0.55,54.12,0,1.09,0,0,0,0,3.83
