stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,24.52,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,3.21,12.84,0,0,0,0,1.07,2.14,0,0,2.14,1.07,0,0,0,0,0
21Day,0,0,4.02,4.02,0,0,0,0,1.34,0,2.68,0,0,0,1.34,2.68,0,0,0
3Month,0.32,0.32,34.55,0.32,0.96,0.96,0.96,2.56,0.96,0.32,12.8,1.92,0,0,0,0.64,0.32,0.64,0.96
22Month,0,0,2.19,0,0.55,1.64,0,0,0,0.55,2.73,0,0,0,0,1.09,0,0,0
