stage,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,8.56,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,32.09,3.21,0,0,2.14,0,0,1.07,0,0,0
21Day,2.68,1.34,2.68,0,0,0,0,0,0,0,8.03,1.34,0,6.69,0,0,0,17.4,2.68,0,0,5.35,0,0,2.68,0,0,0
3Month,1.92,3.2,0,2.56,0.96,1.28,2.56,0.64,0.32,57.27,4.48,0.32,1.6,4.48,3.52,0,0.32,0.64,0.64,0.96,19.2,0,0.64,3.84,0,0.32,1.6,0.96
22Month,15.31,2.19,0,0.55,0,2.19,17.49,1.09,0,53.57,0.55,0.55,2.19,6.01,0,0,0,1.09,0,1.09,2.73,0,0,18.04,0,0,0,1.09
