stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,1.07,0,0,2.14,0,0,3.21,1.07,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,2.68,0,1.34,1.34,0,0,0,5.35,1.34,0,0,0,0
3Month,3.52,1.6,0,0.32,8.96,0.64,0.32,0.32,0.64,0,2.88,0.32,0.96,0,0,0,0.32,0.32,0.32,0.32,0.32,1.6,0.32
22Month,4.37,0.55,0,0.55,10.39,0,1.09,0,0,1.09,1.64,0,0,0.55,0,0.55,0,0,0.55,0,0,0,0
