stage,Granulocyte,Hepatocyte,Ionocyte,Mesenchymal_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,1.07
21Day,0,0,0,0,1.34,4.02
3Month,0,1.92,0,0,0,0
22Month,0.55,4.92,0.55,0.55,0,0
