stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,53.12,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,3.21,0,0,0,0,1.07,1.07,1.07,2.14,0,1.07,303.82,17.12,0,1.07,0,0,3.21,1.07,5.35,0,0
21Day,1.34,1.34,2.68,1.34,0,1.34,1.34,0,0,0,5.35,0,1.34,99.05,8.03,0,1.34,1.34,0,1.34,18.74,68.27,0,0
3Month,0,0,0,1.28,0.32,0,0,0,0.32,0,0,0.32,0,0.64,0,0.32,0,0,0.96,0,0,0,0.32,0.32
22Month,0,0,0,6.01,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,1.09,0,1.64,0,0,0
