stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Osteoblast,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,0,0,0,0,1.07,0,1.07
21Day,2.68,0,0,0,1.34,0,0,0,0,0
3Month,2.24,0.64,0.32,4.8,0.32,0.96,0.32,0,0.64,0
22Month,0,0,0,0.55,0,0,0,0,3.28,0
