stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,3.21,0,0,0,0,3.21,0,0,1.07,0
21Day,0,6.69,0,0,0,0,4.02,0,1.34,0,1.34,0,0,0,2.68,0
3Month,0.32,7.04,0.32,2.56,0.32,0.64,5.76,0.32,3.84,0.64,3.2,0,0,2.56,0,0.32
22Month,0,1.09,0,9.29,0,1.09,0,0.55,2.73,0,0.55,0,0,1.09,0,0
