stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mt_rich_cell,Neurosecretory_cell
72hpf,0,0,0,0,0,1.07,0
21Day,0,1.34,0,0,0,1.34,1.34
3Month,0.32,0,0.32,3.84,0.32,0,0
22Month,0,0,0,4.92,0,0,0
