stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,8.17,49.04,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,9.63,3.21,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,10.71,2.68,0,0,0,0,0,1.34
3Month,0,0.32,2.24,0,0,0,4.48,0.64,0.32,1.92,0.32,0.64,0.32,0.64,0,0,0,0,0,0,3.2,0.32,4.16,0
22Month,0,0.55,3.28,0.55,3.28,0.55,46.47,1.64,0.55,3.83,0,1.09,2.19,5.47,0.55,0.55,0,0,0.55,0,2.73,0,0,0
