stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,22.47,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,1.07,0,10.7,0,0,0,0,2.14,2.14,0,9.63,0,0,1.07,0,1.07,0,0,0
21Day,18.74,0,0,0,4.02,0,1.34,0,0,0,0,0,1.34,1.34,2.68,1.34,1.34,0,0,0,1.34,0,0,0,0,2.68,0,1.34,0,0,0,0,0,0
3Month,2.56,2.88,0.64,3.52,0.64,0.32,0,1.28,0.64,0.32,9.6,0.32,0,1.6,0.96,3.52,1.28,6.08,1.92,0,6.08,4.8,0,0.32,1.92,1.92,0.96,4.48,0,0,0.64,0.32,1.92,1.6
22Month,0,1.09,0.55,3.83,0.55,0,0.55,0.55,3.28,1.64,58.49,1.64,0,5.47,0.55,1.09,2.73,7.65,0,2.19,1.64,0,0,0,1.64,0,0,1.64,0.55,0.55,0,0,0,0.55
