stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,1.28,0,5.76,0.32,0.32,1.92,0.64,0,11.84,0.96,0,2.88,1.6,0.96,0.96,0.96,0.32,0,0.96,0.96,0.32,0.32,1.28,0.96,1.6,0.64,0,0.32,0.96,0.64,0.64
22Month,2.73,0.55,3.28,0,0,1.64,1.09,1.64,21.32,1.64,1.09,3.83,0.55,0.55,2.73,4.37,0,1.09,0.55,0,0,0,0,0.55,0,0.55,0.55,0,0.55,0,1.09
