stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,5.35,0,7.49,0,0,0,3.21,1.07,0,1.07,69.54,0,0,1.07,0,0,0,0,0
21Day,0,1.34,0,4.02,0,0,0,0,0,4.02,0,0,0,1.34,0,0,1.34,1.34,5.35,0,0,0,1.34,0,0,0,26.77,0,0,0,0,0,0,0,1.34
3Month,0.64,3.84,0.32,36.79,0.64,0.64,0.96,0.64,3.52,64.63,0,9.28,2.88,0.32,3.52,2.56,2.56,3.84,16,4.48,2.88,0.32,0.64,0,0,0.96,6.08,0.96,1.28,0.32,0,0,25.6,1.28,7.04
22Month,0,7.65,0,5.47,0,1.09,0.55,0,2.73,75.44,4.37,19.13,3.83,8.75,2.19,0.55,0,4.92,8.2,0,1.09,0,0.55,0,0.55,0,5.47,0,0,0.55,0.55,0.55,4.37,0,5.47
