stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,4.09,0,12.26,0,0,73.56,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,1.07,0,1.07,0,10.7,6.42,3.21,0,3.21,0,0
21Day,0,2.68,0,2.68,0,0,0,1.34,5.35,0,8.03,0,4.02,0,0,0,0,0,0
3Month,0,1.92,0.32,0,0.32,0.64,0.64,0.32,0,0.32,0,0.32,0.32,0,0,0.64,0,9.6,0.64
