stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0,0,0,8.03
3Month,0,0.96,0.32,0.64,1.92,0,2.24,0.64,0.32,0,0,0,1.28,2.24,14.08,13.44
22Month,0.55,1.09,0,2.73,6.01,1.09,1.64,1.09,2.73,0.55,0,0,0.55,7.65,0,13.67
