stage,Cardiomyocyte,Enterocyte,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,4.09,4.09,0,0,0,0
72hpf,0,0,1.07,1.07,1.07,43.86,1.07,1.07,0,2.14,0,1.07
21Day,1.34,1.34,1.34,1.34,0,45.51,4.02,0,1.34,1.34,2.68,0
