stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,1.07,0,1.07,1.07,0,0,0
21Day,0,1.34,0,0,4.02,0,0,1.34,0,1.34,2.68,8.03,2.68,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0.64,4.8,0.32,5.76,0,1.92,7.36,2.24,0,0.32,3.84,0.64,0,0,0,0.32,0,0.32,0.32,0.32,3.2
22Month,1.09,0,5.47,1.09,20.23,1.09,11.48,6.56,4.37,0,0,14.76,1.09,0.55,1.09,0,0,0.55,0,0,0.55,0.55
