stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,6.42,1.07,0,0,0,0,0,0,10.7,1.07,0,0,0
21Day,0,0,1.34,2.68,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,6.69,4.02,0,0,2.68,1.34,0,1.34,24.09,5.35,12.05,0,0
3Month,0,0.64,2.24,0,0,0,0.32,0,6.72,0,0,0.96,0.32,0,0,0.32,0,0.32,0.32,0,0.64,0,0,0,0.96,0.96,1.28,0,0.96,4.48,0.32
22Month,0,1.09,2.73,0,0.55,1.64,2.19,1.64,57.95,0.55,0.55,4.37,0,1.64,1.09,2.73,1.09,0.55,0,0,1.09,0.55,0.55,1.09,3.28,4.37,21.87,0,0.55,1.64,1.09
