stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,0,1.07,0,0
21Day,2.68,0,5.35,1.34,0,0,1.34,0,0,0,4.02,0,1.34,1.34,1.34,0,0,2.68,0,0,0,2.68
3Month,0,0,1.6,0,0.64,0.64,3.84,0,4.16,5.44,0,0.64,0,1.6,0,0.32,0,0,0.32,0,0.32,1.28
22Month,0,0.55,2.73,0,0,0.55,8.75,0.55,21.32,1.09,0.55,1.09,0,4.37,2.73,0,0.55,0,0,0,0.55,2.19
