stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,53.49,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,1.34,0,22.76,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.64,1.6,2.56,24.96,0,1.6,0.32,0,3.2,10.88,0.32,40.63,15.68,0.96,20.16,4.8,14.4,7.04,19.2,4.16,0.32,1.92,2.56,0.32,0.64,4.16,0.96,0,0.64,8.96,0.64,5.76,0.64,0,0,2.56,5.12,10.24
22Month,0.55,13.12,4.92,17.49,0,1.64,1.09,0.55,2.73,29.52,7.65,208.82,12.03,2.73,38.81,1.09,4.92,10.39,30.61,1.64,10.39,3.28,0,3.28,0.55,2.73,4.92,2.73,0,1.09,0,2.73,1.64,0.55,0,1.64,0.55,7.65
