stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,4.09,0,28.6,8.17,0,0,0,0,0,4.09,0,0,0,0,12.26,28.6,20.43,179.8,0,0,0,4.09,65.38,1086.98,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,10.7,4.28,0,9.63,4.28,1.07,0,2.14,0,0,0,0,0,1.07,0,6.42,7.49,2.14,38.51,0,2.14,1.07,1.07,98.42,215.03,0,0,24.61,0,0,16.05,1.07,1.07,1.07,0,0,0
21Day,24.09,2.68,0,33.46,1.34,5.35,0,13.39,0,1.34,0,1.34,0,12.05,2.68,4.02,17.4,5.35,58.9,0,0,4.02,0,22.76,65.59,1.34,1.34,6.69,4.02,0,14.72,0,1.34,0,0,0,1.34
3Month,0,0,0,0.96,0,0,0.32,0.32,0,0,0,0.96,0,0,0.96,0.32,0.32,1.28,0.32,0.32,0,0,0.32,0.32,0,0.32,0,0,0,8.32,0,0,0,0,0.96,0.96,2.24
22Month,0,0.55,0.55,6.56,0,0,0,0,1.64,1.09,0,22.41,1.64,4.37,5.47,0.55,0,3.83,10.93,0.55,1.09,0.55,0,0.55,0,0.55,2.19,1.09,0,6.56,0,0,0,0,0,0,0.55
