stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell
3Month,0.32,0,1.92,0.32,0.32,0.32,0.32,0.32,0.32,0.32
22Month,0,0.55,6.01,0,0.55,0,0,0.55,0,0
