stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,7.49,0,0,1.07,0,0,0,0,0,0
21Day,5.35,0,0,5.35,1.34,0,0,0,0,1.34,0,20.08,0,0,0,8.03,45.51,0,0,0,0,1.34,0,0,0,10.71,5.35,0,0,0,1.34,0,0,0,1.34
3Month,0,0,0.32,3.2,0,0.32,1.28,3.2,0,11.84,1.28,0,4.48,0,0.64,40.31,3.84,1.92,0,0.32,0.64,0,0.32,0.32,0,0,0.96,2.24,0,0,0,0,0.64,1.92,4.16
22Month,0,3.28,0,12.57,0,0.55,2.19,6.56,1.09,26.79,1.64,0.55,3.83,1.09,11.48,115.89,16.4,1.09,0.55,0.55,0,0,1.09,0,1.09,0,0,3.28,1.09,1.64,0,0.55,1.64,0,4.92
