stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,3.21,1.07,0,0,0,0,0,0
21Day,4.02,6.69,1.34,1.34,2.68,0,0,0,0,0,2.68,1.34,14.72,1.34,6.69,0,0,5.35,0,1.34,0,0
3Month,0,0.64,0.32,0,0,0.32,0,0.96,0.32,0.32,0.64,0.64,0.32,0.32,0,0,0,0,0.64,0,0.32,0.32
22Month,0,1.09,0,0,0,0,0.55,6.01,0,0.55,0,1.09,1.09,0,0,0,0.55,0,0,0,0,0
