stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,1.07,4.28,0,0,1.07,8.56,9.63,0,2.14,0,2.14,1.07,0
21Day,0,0,6.69,0,0,0,0,5.35,0,1.34,0,4.02,1.34,0,1.34,1.34,2.68,0,0
3Month,0,0,0,0,0.32,0.64,0,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0
